CaO,2000,5.058,6.104,0.443,−1.047
CaCO3,1200,9.848,12.572,2.637,−3.120
Ca(OH)2,700,11.217,9.597,5.435,. . . . . .
CaC2,720,7.508,8.254,1.429,−1.042
CaCl2,1055,8.762,8.646,1.530,−0.302
C (graphite),2000,1.026,1.771,0.771,−0.867
Cu,1357,2.959,2.677,0.815,0.035
CuO,1400,5.087,5.780,0.973,−0.874
Fe(α),1043,3.005,−0.111,6.111,1.150
Fe2O3,960,12.480,11.812,9.697,−1.976
Fe3O4,850,18.138,9.594,27.112,0.409
FeS,411,6.573,2.612,13.286,. . . . . .
I2,386.8,6.929,6.481,1.502,. . . . . .
LiCl,800,5.778,5.257,2.476,−0.193
NH4Cl,458,10.741,5.939,16.105,. . . . . .
Na,371,3.386,1.988,4.688,. . . . . .
NaCl,1073,6.111,5.526,1.963,. . . . . .
NaOH,566,7.177,0.121,16.316,1.948
NaHCO3,400,10.539,5.128,18.148,. . . . . .
S (rhombic),368.3,3.748,4.114,−1.728,−0.783
SiO2 (quartz),847,5.345,4.871,5.365,−1.001
