Ammonia,9.718,22.626,−100.75,192.71
Aniline,23.070,15.819,29.03,−15.80
Benzene,16.157,−0.747,67.96,−37.78
"1,3-Butadiene",14.779,22.711,−87.96,205.79
Carbon tetrachloride,15.751,21.155,−48.28,101.14
Chlorobenzene,18.240,11.278,32.86,−31.90
Chloroform,13.806,19.215,−42.89,83.01
Cyclohexane,18.737,−9.048,141.38,−161.62
Ethanol,13.444,33.866,−172.60,349.17
Ethylene oxide,10.590,21.039,−86.41,172.28
Methanol,9.798,13.431,−51.28,131.13
n-Propanol,16.921,41.653,−210.32,427.20
Sulfur trioxide,30.408,−2.930,137.08,−84.73
Toluene,18.611,15.133,6.79,16.35
Water,9.069,8.712,1.25,−0.18
